meeting_no,meeting_file,research_evidence_file,source_num,source_title,publisher,publication_update_date,url,relevance_score,eligible_for_final_memo,human_review_flag,meeting_issue_connection,audit_note
1,01_Northstar_Advisory_Discovery.docx,01_research_evidence.md,1,"Agentforce Sales: The 24/7 Digital Workforce that Ends the Sales Grind",Salesforce,"2026 (Spring '26 release cycle; exact day not stated)",https://www.salesforce.com/news/stories/agentforce-sales-announcement/,3,Y,Major competitive claim,"Board member's Agentforce demo question","First-party vendor marketing; treat performance claims as promotional"
1,01_Northstar_Advisory_Discovery.docx,01_research_evidence.md,2,"HubSpot vs Salesforce: Which CRM Is More AI-Agent Ready in 2026?","Vantage Point",2026,https://vantagepoint.io/blog/sf/hubspot-vs-salesforce-ai-agent-ready-2026-comparison,3,Y,Major competitive claim,"Dana's expensive add-on concern / firm-size fit","Third-party CRM consultancy; directional, not definitive"
1,01_Northstar_Advisory_Discovery.docx,01_research_evidence.md,3,"Transfer data from other apps using HubSpot Smart Transfer",HubSpot,"Not dated on page",https://knowledge.hubspot.com/integrations/transfer-data-from-other-apps-using-hubspot-smart-transfer,3,Y,None,"Dana's migration-risk concern / 90-day sequence","First-party doc; no explicit last-updated date shown"
1,01_Northstar_Advisory_Discovery.docx,01_research_evidence.md,4,"HubSpot's Customer Agent and Prospecting Agent: Now you pay when the task is complete",HubSpot,"April 14, 2026",https://www.hubspot.com/company-news/hubspots-customer-agent-and-prospecting-agent-now-you-pay-when-the-task-is-complete,3,Y,Pricing,"Dana's reluctance to buy an expensive add-on","First-party, dated, recent"
2,02_Meridian_Staffing_Competitive_Evaluation.docx,02_research_evidence.md,1,"Overview of Microsoft 365 Copilot for Sales, 2026 release wave 1",Microsoft,"2026 release wave 1 (Apr-Sep 2026 rollout)",https://learn.microsoft.com/en-us/copilot/release-plan/2026wave1/copilot-sales/,3,Y,Major competitive claim,"Carlos's Copilot/M365-friction claim","First-party Microsoft release-plan documentation"
2,02_Meridian_Staffing_Competitive_Evaluation.docx,02_research_evidence.md,2,"11 AI-powered sales automation workflows that work for every funnel stage",HubSpot,"Not explicitly dated",https://blog.hubspot.com/sales/ai-sales-automation-examples,2,N,Security,"Lynn's role-based AI-outreach governance question","Partial answer only; flag corrected from 'major competitive claim' to 'Security' during this audit; needs a more targeted follow-up query"
2,02_Meridian_Staffing_Competitive_Evaluation.docx,02_research_evidence.md,3,"HubSpot Integration for Staffing Firms That Improves Fit and Speed",IntegrateIQ,"Not explicitly dated",https://integrateiq.com/blogs/hubspot-integration-for-staffing-firms/,3,Y,None,"Aisha's keep-Bullhorn requirement / Jordan's data-flow mapping","Third-party specialist consultancy; commercial interest in integration work"
2,02_Meridian_Staffing_Competitive_Evaluation.docx,02_research_evidence.md,4,"How to Leverage HubSpot's Operations Hub to Manage Duplicate Records",SmartBug Media,"Not explicitly dated",https://www.smartbugmedia.com/blog/hubspot-operations-hub-to-manage-duplicate-records,3,Y,Pricing,"Duplicate employer records / national-account ownership dispute","Paid-tier (Ops Hub Pro/Enterprise) gating relevant to the ~$80K planning ceiling"
3,03_Harborline_Legal_Security_Workshop.docx,03_research_evidence.md,1,"Security and Compliance",HubSpot,"Not explicitly dated",https://www.hubspot.com/security-and-compliance,3,Y,Security,"Owen's role-based access/audit/retention request","First-party trust center"
3,03_Harborline_Legal_Security_Workshop.docx,03_research_evidence.md,2,"Opt out of HubSpot's AI model training",HubSpot,"Not explicitly dated",https://knowledge.hubspot.com/account-management/hubspot-ai-mode-training,3,Y,"Security; Legal/regulatory","Owen's AI customer-data-use question","Default opt-in to AI model training is the key finding for a law firm"
3,03_Harborline_Legal_Security_Workshop.docx,03_research_evidence.md,3,"Compliance at Zoho",Zoho Corporation,"Not explicitly dated",https://www.zoho.com/compliance.html,3,Y,"Security; Legal/regulatory","Missing Zoho-vs-HubSpot security comparison","Self-reported vendor trust page; not independently audited in this search"
3,03_Harborline_Legal_Security_Workshop.docx,03_research_evidence.md,4,"HubSpot Vs. Zoho CRM (2026 Comparison)",Forbes Advisor,2026,https://www.forbes.com/advisor/business/software/hubspot-vs-zoho/,2,N,Pricing,"Harborline's belief that Zoho's bundled pricing is lower","Directional only; dollar figures unverified against primary pricing pages"
4,04_SummitWorks_Engineering_Integration.docx,04_research_evidence.md,1,"How to Build a Salesforce Account Hierarchy",Salesforce Ben,"Not explicitly dated",https://www.salesforceben.com/how-to-build-a-salesforce-account-hierarchy/,3,Y,Major competitive claim,"Victor's belief Salesforce handles hierarchies more naturally","Independent practitioner site; no AEC-specific data found"
4,04_SummitWorks_Engineering_Integration.docx,04_research_evidence.md,2,"Developer updates for June 2026",HubSpot,"June 2026",https://developers.hubspot.com/changelog/june-2026-rollup,3,Y,Major competitive claim,"Hierarchy/custom-object comparison, HubSpot side","10-object cap on Enterprise tier is a real constraint"
4,04_SummitWorks_Engineering_Integration.docx,04_research_evidence.md,3,"Deltek Vantagepoint Integration – iPaaS and Connector App for HubSpot","SyncMatters (HubSpot App Marketplace listing)","Not explicitly dated",https://ecosystem.hubspot.com/marketplace/listing/deltek-vantagepoint-integration,3,Y,None,"Feasibility of a controlled/staged integration to Deltek","Third-party vendor, marketplace-vetted"
4,04_SummitWorks_Engineering_Integration.docx,04_research_evidence.md,4,"Quick Guide to Workflow Automation with HubSpot",HubSpot,"Not explicitly dated",https://www.hubspot.com/products/workflow-automation-guide,3,Y,None,"Eli's event-based handoff pattern","First-party for the core webhook mechanism"
5,05_BrightPath_Training_Procurement.docx,05_research_evidence.md,1,"Revenue Hub pricing page",HubSpot,"Current live page as of 2026-07-28",https://www.hubspot.com/pricing/revenue,3,Y,Pricing,"Devon's pricing questions / Alex's proposal-accuracy need","September 2026 pricing change is time-sensitive"
5,05_BrightPath_Training_Procurement.docx,05_research_evidence.md,2,"Introducing Revenue Hub: Quote to cash, finally in one place",HubSpot,2026,https://www.hubspot.com/company-news/introducing-revenue-hub-quote-to-cash-finally-in-one-place,3,Y,None,"Devon's manual quoting/payment follow-up question","Confirms Stripe connectivity"
5,05_BrightPath_Training_Procurement.docx,05_research_evidence.md,3,"Zoho One Pricing 2026 (representative of aggregated third-party pricing guides)","Third-party pricing guides (Capterra listing, corroborated by Zenatta Consulting and zohobyc2m)",2026,https://www.capterra.com/p/166175/Zoho-One/,3,Y,Pricing,"Devon's belief that Zoho One may be cheaper","'All Employee' vs 'Flexible User' plan nuance; not Zoho's own pricing page"
5,05_BrightPath_Training_Procurement.docx,05_research_evidence.md,4,"How to Understand Attribution Report Definitions in HubSpot's Report Builder",HubSpot,"Not explicitly dated",https://knowledge.hubspot.com/reports/understand-attribution-reporting,3,Y,None,"Reese's webinar-registration-to-renewal attribution goal","Renewal-specific attribution not fully confirmed"
6,06_BluePeak_RevOps_Partner.docx,06_research_evidence.md,1,"2026 Entry and Tiers Policy for HubSpot Solutions Partners",HubSpot,"Effective July 15, 2026",https://www.hubspot.com/2026-entry-and-tiers-policy-for-hubspot-solutions-partners,3,Y,Pricing (partner terms),"BluePeak's need for current partner-program requirements","New Partner Program Membership purchase requirement effective July 15, 2026"
6,06_BluePeak_RevOps_Partner.docx,06_research_evidence.md,2,"Academy certifications | Frequently Asked Questions",HubSpot,"Not explicitly dated",https://knowledge.hubspot.com/help-and-resources/hubspot-academy-certification-frequently-asked-questions,3,Y,None,"Alana's certification-time concern","~6.5 hours for one person to certify the organization"
6,06_BluePeak_RevOps_Partner.docx,06_research_evidence.md,3,"HubSpot Sales Partner Program: Referral Partners / Solutions Partners (PDF)",HubSpot,"Not explicitly dated; confirm current version",https://cdn2.hubspot.net/hubfs/53/SalesSolutionsPartnerPDFs.pdf,3,Y,Pricing (partner terms),"Simone's caution against promising unconfirmed margins/benefits","Upmarket co-sell economics require Platinum tier or above"
7,07_NABC_Association_Partnership.docx,07_research_evidence.md,1,"2026 AI in Professional Services Report",Thomson Reuters Institute,2026,https://www.thomsonreuters.com/en-us/posts/technology/ai-in-professional-services-report-2026/,3,Y,None,"Members asking how AI changes referral selling/proposals/expansion","Billable-hour challenge stat is the sharpest hook for the session"
